"IndicatorCode","IndicatorName"
"HWF_0021","Physiotherapists (number)"
"HWF_0022","Physiotherapy Technicians and Assistants  (number)"
"HWF_0023","Traditional and Complementary Medicine Professionals  (number)"
"HWF_0024","Community Health Workers (number)"
"HWWS_1","Handwashing with soap after using the toilet (%)"
"HWWS_2","Handwashing with soap after cleaning child's stool (%)"
"IHR01","Legislation"
"IHR02","Coordination"
"IHR03","Surveillance"
"IHR04","Response"
"IHR05","Preparedness"
"IHR06","Risk communication"
"IHR07","Human resources"
"IHR08","Laboratory"
"IHR09","Points of entry"
"IHR10","Zoonosis"
"IHR11","Food safety"
"IHR12","Chemical"
"IHR13","Radionuclear"
"imr","Infant mortality rate (deaths per 1000 live births)"
"IR_CARBAMATE_EXTENT","Percentage of sites for which carbamate resistance was reported"
"IR_CARBAMATE_PRESENCE","Carbamate resistance reported for at least one site"
"IR_INSECTICIDERESISTANCE_PREV","Number of insecticide classes to which resistance was reported"
"IR_ORGANOCHLORINE_EXTENT","Percentage of sites for which organochlorine resistance was reported"
"IR_ORGANOCHLORINE_PRESENCE","Organochlorine resistance reported for at least one site"
"IR_ORGANOPHOSPHATE_EXTENT","Percentage of sites for which organophosphate resistance was reported"
"IR_ORGANOPHOSPHATE_PRESENCE","Organophosphate resistance reported for at least one site"
"IR_PYRETHROID_EXTENT","Percentage of sites for which pyrethroid resistance was reported"
"IR_PYRETHROID_PRESENCE","Pyrethroid resistance reported for at least one site"
"itnch","Children aged < 5 years sleeping under insecticide-treated nets (%)"
"itnwm","Pregnant women sleeping under insecticide-treated nets (%)"
"ITU_ICT_1","Percentage of individuals using the Internet"
"ITU_ICT_2","Mobile-cellular telephone subscriptions per 100 inhabitants"
"ITU_IDI","ICT Development Index (IDI)"
"ITU_IDI_RANK","ICT Development Index (IDI) rank"
"LEAD_1","Percentage of the children under 15 years with blood lead levels above 5ug/dl"
"LEAD_10","Lead attributable DALYs per 100'000 children under 5 years"
"LEAD_2","Percentage of the children under 15 years with blood lead levels above 10ug/dl"
"LEAD_3","Percentage of the adults (15+ years) with blood lead levels above 5ug/dl"
"LEAD_4","Percentage of the adults (15+ years) with blood lead levels above 10ug/dl"
"LEAD_5","Lead attributable deaths"
"LEAD_6","Lead attributable DALYs ('000)"
"LEAD_7","Lead attributable deaths per 100'000 capita"
"LEAD_8","Lead attributable DALYs per 100'000 capita"
"LEAD_9","Lead attributable DALYs ('000) in children under 5 years"
"LEADCONTROL","Legally-binding controls on lead paint"
"LIFE_0000000029","nMx - age-specific death rate between ages x and x+n"
"LIFE_0000000030","nqx - probability of dying between ages x and x+n"
"LIFE_0000000031","lx - number of people left alive at age x"
"LIFE_0000000032","ndx - number of people dying between ages x and x+n"
"LIFE_0000000033","nLx - person-years lived between ages x and x+n"
"LIFE_0000000034","Tx - person-years lived above age x"
"LIFE_0000000035","ex - expectation of life at age x"
"M_def_1_prev_adult","Adult indicator 1 rate"
"M_def_1_prev_youth","Youth indicator 1 rate"
"M_def_1_text_adult","Adult indicator 1 definition"
"M_def_1_text_youth","Youth indicator 1 definition"
"M_def_2_prev_adult","Adult indicator 2 rate"
"M_def_2_prev_youth","Youth indicator 2 rate"
"M_def_2_text_adult","Adult indicator 2 definition"
"M_def_2_text_youth","Youth indicator 2 definition"
"M_Est_cig_curr","Estimate of current cigarette smoking prevalence (%)"
"M_Est_tob_curr","Estimate of current tobacco use prevalence (%)"
"M_Group","Monitoring tobacco use and prevention policies"
"M_smkless_age_range_adult","Adult survey age range - smokeless"
"M_smkless_age_range_youth","Youth survey age range - smokeless"
"M_smkless_def_text_adult","Adult smokeless tobacco use indicator definition"
"M_smkless_def_text_youth","Youth smokeless tobacco use indicator definition"
"M_smkless_prev_adult","Adult smokeless tobacco use indicator rate"
"M_smkless_prev_youth","Youth smokeless tobacco use indicator rate"
"M_smkless_survey_title_adult","Name of survey of adults - smokeless"
"M_smkless_survey_title_youth","Name of survey of youth - smokeless"
"M_smkless_svy_national_adult","Representativeness of survey of adults - smokeless"
"M_smkless_svy_national_youth","Representativeness of survey of youth - smokeless"
"M_survey_title_adult","Name of survey of adults"
"M_survey_title_youth","Name of survey of youth"
"M_svy_age_adult","Adult survey age range"
"M_svy_age_youth","Youth survey age range"
"M_svy_national_adult","Representativeness of survey of adults"
"M_svy_national_youth","Representativeness of youth survey"
"MCV2","Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%)"
"MDG_0000000001","Infant mortality rate (probability of dying between birth and age 1 per 1000 live births)"
"MDG_0000000003","Adolescent birth rate (per 1000 women aged 15-19 years)"
"MDG_0000000007","Under-five mortality rate (probability of dying by age 5 per 1000 live births)"
"MDG_0000000010","Median availability of selected generic medicines (%) - Public"
"MDG_0000000011","Median consumer price ratio of selected generic medicines - Public"
"MDG_0000000015","Prevalence of condom use by adults during higher-risk sex (15-49) (%)"
"MDG_0000000017","Deaths due to tuberculosis among HIV-negative people (per 100 000 population)"
"MDG_0000000020","Incidence of tuberculosis (per 100 000 population per year)"
"MDG_0000000021","Population aged 15-24 years with comprehensive correct knowledge of HIV/AIDS (%)"
"MDG_0000000025","Births attended by skilled health personnel (%)"
"MDG_0000000026","Maternal mortality ratio (per 100 000 live births)"
"MDG_0000000029","Prevalence of HIV among adults aged 15 to 49 (%)"
"MDG_0000000030","Smear-positive tuberculosis case-detection rate (%)"
"MDG_0000000031","Smear-positive tuberculosis treatment-success rate (%)"
"MDG_0000000032","Maternal mortality ratio (per 100 000 live births) - Country reported estimates"
"MDG_0000000033","Antiretroviral therapy coverage among people with HIV infection eligible for ART according to 2010 guidelines (%)"
"MDG_0000000034","Antiretroviral therapy coverage among people with advanced HIV infection (%), WHO 2006 guidelines"
"MENING_1","Number of suspected meningitis deaths reported"
"MENING_2","Number of suspected meningitis cases reported"
"MENING_3","Number of meningitis epidemic districts"
"MH_1","Mental health policy"
"MH_10","Mental health outpatient facilities (per 100,000)"
"MH_11","Mental health day treatment facilities (per 100,000)"
"MH_12","Age-standardized suicide rates (per 100 000 population)"
"MH_13","Beds for mental health in general hospitals (per 100,000)"
"MH_14","Community residential facilities (per 100,000)"
"MH_15","Beds in community residential facilities (per 100,000)"
"MH_16","Beds in mental hospitals (per 100,000)"
"MH_17","Mental hospitals (per 100,000)"
"MH_18","Mental health units in general hospitals (per 100,000)"
"MH_19","Mental hospital admissions (per 100,000)"
"MH_2","Mental health plan"
"MH_20","Outpatient visits (per 100,000)"
"MH_24","Mental health units in general hospitals admissions (per 100,000)"
"MH_25","Stand-alone policy or plan for mental health"
"MH_3","Stand-alone mental health legislation"
"MH_4","Government expenditures on mental health as a percentage of total government expenditures on health (%)"
"MH_5","Government expenditures on mental hospitals as a percentage of total government expenditures on mental health (%)"
"MH_6","Psychiatrists working in mental health sector (per 100,000)"
"MH_7","Nurses working in mental health sector (per 100,000)"
"MH_8","Social workers working in mental health sector (per 100,000)"
"MH_9","Psychologists working in mental health sector (per 100,000)"
"MORT_100","Number of deaths"
"MORT_200","Deaths per 1 000 live births"
"MORT_300","Distribution of causes of death among children aged < 5 years (%)"
"MORT_600","Projection of number of deaths"
"MORT_700","Projection of deaths per 100 000 population"
"MORT_MATERNALNUM","Number of maternal deaths"
"NCD_BMI_18A","Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)"
"NCD_BMI_18C","Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)"
"NCD_BMI_25A","Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)"
"NCD_BMI_25C","Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)"
"NCD_BMI_30A","Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)"
"NCD_BMI_30C","Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)"
"NCD_BMI_MEAN","Mean BMI (kg/m²) (age-standardized estimate)"
"NCD_BMI_MEANC","Mean BMI (kg/m&#xb2;) (crude estimate)"
"NCD_BMI_MINUS2C","Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)"
"NCD_BMI_PLUS1C","Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)"
"NCD_BMI_PLUS2C","Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)"
"NCD_CCS_ACE","General availability of ACE inhibitors in the public health sector"
"NCD_CCS_AlcPlan","Existence of operational policy/strategy/action plan to reduce the harmful use of alcohol"
"NCD_CCS_Aspirin","General availability of aspirin (100 mg) in the public health sector"
"NCD_CCS_betablockers","General availability of beta blockers in the public health sector"
"NCD_CCS_BowelCancer","General availability of colon cancer screening at the primary health care level"
"NCD_CCS_BreastCancer","General availability of breast cancer screening (by palpation or mammogram) at the primary health care level"
"NCD_CCS_breastcancerscreening","Existence of national screening program for breast cancer"
"NCD_CCS_Bronchodilators","General availability of bronchodilators in the public health sector"
"NCD_CCS_CancerPlan","Existence of operational policy/strategy/action plan for cancer"
"NCD_CCS_CancerRegNational","Existence of population-based cancer registry"
"NCD_CCS_CCBlkrs","General availability of CC blockers in the public health sector"
"NCD_CCS_CervCy","General availability of cervical cytology at the primary health care level"
"NCD_CCS_cervicalcancermethod","Most widely used screening method in national cervical cancer screening program"
"NCD_CCS_cervicalcancerpgmcvg","Coverage of national cervical cancer screening program (%)"
"NCD_CCS_cervicalcancerpgmtype","Type of national cervical cancer screening program"
"NCD_CCS_cervicalcancerscreening","Existence of national screening program for cervical cancer"
"NCD_CCS_chemo","General availability of chemotherapy in the public health system"
"NCD_CCS_CholMsmt","General availability of total cholesterol measurement at the primary health care level"
"NCD_CCS_coronary","General availability of coronary bypass or stenting in the public health system"
"NCD_CCS_CRDPlan","Existence of operational policy/strategy/action plan for chronic respiratory diseases"
"NCD_CCS_CVDPlan","Existence of operational policy/strategy/action plan for cardiovascular diseases"
"NCD_CCS_DiabetesReg","Existence of a diabetes registry"
"NCD_CCS_DiabetesTest","General availability of diabetes testing (by blood glucose measurement, OGTT, or HbA1c) at the primary health care level"
"NCD_CCS_DiabPlan","Existence of operational policy/strategy/action plan for diabetes"
"NCD_CCS_diabtest","General availability of diabetes testing (by blood glucose measurement, OGTT) at the primary health care level"
"NCD_CCS_dialysis","General availability of dialysis in the public health system"
"NCD_CCS_dietpaaware","Implementation of diet and/or physical activity public awareness program"
"NCD_CCS_DietPlan","Existence of operational policy/strategy/action plan to reduce unhealthy diet related to NCDs"
"NCD_CCS_HbA1c","General availability of diabetes testing (by HbA1c) at the primary health care level"
"NCD_CCS_hpv","Existence of national HPV vaccination programme"
"NCD_CCS_Insulin","General availability of insulin in the public health sector"
"NCD_CCS_integNCDplan","Existence of an operational, multisectoral national NCD policy, strategy or action plan that integrates several NCDs and their risk factors"
"NCD_CCS_Metformin","General availability of metformin in the public health sector"
"NCD_CCS_Mkting","Existence of any policies on marketing of foods to children"
"NCD_CCS_MultisecComm","Existence of a national multisectoral commission, agency or mechanism for NCDs"
"NCD_CCS_NCDGuide","Existence of evidence-based national guidelines/protocols/standards for the management of major NCDs through a primary care approach"
"NCD_CCS_NCDIndicators","Existence of a set of national NCD indicators and has set time-bound national targets for these indicators"
"NCD_CCS_NCDUnit_Operational","Existence of an Operational Unit, Branch, or Dept. in Ministry of Health with responsibility for NCDs"
"NCD_CCS_Nicotine","General availability of nicotine replacement therapy in the public health sector"
"NCD_CCS_oralhealthplan","Existence of operational policy/strategy/action plan for oral health"
"NCD_CCS_OralMorph","General availability of oral morphine in the public health sector"
"NCD_CCS_paaware","Implementation of physical activity public awareness program"
"NCD_CCS_palliative_home","General availability of palliative care in community or home-based care in the public health system"
"NCD_CCS_palliative_prim","General availability of palliative care in primary health care in the public health system"
"NCD_CCS_PAPlan","Existence of operational policy/strategy/action plan to reduce physical inactivity"
"NCD_CCS_PeakFlow","General availability of peak flow measurement at the primary health care level"
"NCD_CCS_photocoag","General availability of retinal photocoagulation in the public health system"
"NCD_CCS_PM3_Surv","Has a STEPS survey or a comprehensive health examination survey every 5 years"
"NCD_CCS_renaltrans","General availability of renal replacement by transplantation in the public health system"
"NCD_CCS_rheum","Provision for secondary prevention of rheumatic fever and rheumatic heart disease in more than 50% of public sector health facilities"
"NCD_CCS_rheumfollowup","Has systems for follow-up/recall to deliver long-term penicillin prophylaxis to patients with rheumatic fever and rheumatic heart disease"
"NCD_CCS_rheumreg","Existence of a register of patients who had rheumatic fever and rheumatic heart disease"
"NCD_CCS_riskstrat","Availability of cardiovascular risk stratification in 50% or more primary health care facilities"
"NCD_CCS_SaltPol","Existence of any policies to reduce population salt consumption"
"NCD_CCS_SatFat","Existence of national policies on saturated fatty acids / trans-fats"
"NCD_CCS_Spirom","General availability of spirometry at the primary health care level"
"NCD_CCS_SSBTAX","Existence of tax on sugar-sweetened beverages"
"NCD_CCS_Statins","General availability of statins in the public health sector"
"NCD_CCS_Steroid","General availability of steroid inhalers in the public health sector"
"NCD_CCS_stroke","Provision for care of acute stroke and rehabilitation in more than 50% of public sector health facilities"
"NCD_CCS_sulphonylurea","General availability of sulphonylurea(s) in the public health sector"
"NCD_CCS_SurvMonRep9NCD","Existence of an NCD surveillance and monitoring system in place to enable reporting against the nine global NCD targets"
"NCD_CCS_targets","Existence of a set of time-bound national targets based on WHO guidance"
"NCD_CCS_Thiazide","General availability of thiazide diuretics in the public health sector"
"NCD_CCS_thrombolytic","General availability of thrombolytic therapy in the public health system"
"NCD_CCS_TobPlan","Existence of operational policy/strategy/action plan to decrease tobacco use"
"NCD_CCS_UrineAlbumin","General availability of urine testing for albumin"
"NCD_DTH_TOT","Total NCD Deaths (in thousands)"
"NCD_GLUC_01","Mean fasting blood glucose (mmol/l) (age-standardized estimate)"
"NCD_GLUC_02","Mean fasting blood glucose (mmol/l) (crude estimate)"
"NCD_GLUC_03","Raised fasting blood glucose (>= 7.0 mmol/L) (crude estimate)"
"NCD_GLUC_04","Raised fasting blood glucose (>=7.0 mmol/L) (age-standardized estimate)"
"NCD_PAA","Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%)"
"NCD_PAC","Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%)"
"NCD_PAC_ADO","Insufficiently active (crude estimate)"
"NCD_UNDER70","Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths"
"NCDMORT3070","Probability (%) of dying between age 30 and exact age 70 from any of cardiovascular disease, cancer, diabetes, or chronic respiratory disease"
"NHABASIS","Basis for NHA estimate"
"nmr","Neonatal mortality rate (deaths per 1000 live births)"
"NTCP_agcy","National agency for tobacco control exists"
"NTCP_budget_year","Budget year"
"NTCP_curr","Reported currency"
"NTCP_FTE","Number of full-time equivalent staff in national agency"
"NTCP_govt_exp","Annual budget for tobacco control in currency reported"
"NTCP_govt_obj","Government objectives on tobacco control exist"
"NTD_1","Number of new reported cases of Buruli ulcer"
"NTD_2","Dracunculiasis certification status of countries at the beginning of the year"
"NTD_3","Annual incidence of dracunculiasis cases"
"NTD_4","Number of new reported cases of human African trypanosomiasis (T.b. gambiense)"
"NTD_5","Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)"
"NTD_6","Status of elimination of trachoma as a public health problem"
"NTD_7","Population in areas that warrant treatment with antibiotics, facial cleanliness and environmental improvement for elimination of trachoma as a public health problem"
"NTD_8","Number of people who received treatment with antibiotics for trachoma"
"NTD_BEJELSTATUS","Status of bejel endemicity"
"NTD_LEISHCEND","Status of endemicity of cutaneous leishmaniasis"
"NTD_LEISHCNUM","Number of cases of cutaneous leishmaniasis reported"
"NTD_LEISHCNUM_IM","Number of imported cases of cutaneous leishmaniasis reported"
"NTD_LEISHVEND","Status of endemicity of visceral leishmaniasis"
"NTD_LEISHVNUM","Number of cases of visceral leishmaniasis reported"
"NTD_LEISHVNUM_IM","Number of imported cases of visceral leishmaniasis reported"
"NTD_LEPR11","Number of female leprosy new cases"
"NTD_LEPR2","New leprosy case detection rate per 1 000 000 population"
"NTD_LEPR3","Leprosy - Number of cases registered for treatment"
"NTD_LEPR4","Leprosy registered prevalence rate per 1 000 000 population"
"NTD_LEPR5","Number of new G2D leprosy cases"
"NTD_LEPR7","Leprosy - New leprosy cases with G2D rate per 1 000 000 population"
"NTD_LEPR8","Leprosy - Number of new leprosy cases among children (less than 15 years of age)"
"NTD_LEPR9","Number of new leprosy cases with G2D among children (less than 15 years of age)"
"NTD_ONCHEMO","Estimated number of individuals in the country requiring preventive chemotherapy for onchocerciasis"
"NTD_ONCHSTATUS","Status of endemicity of onchocerciasis"
"NTD_ONCTREAT","Reported number of individuals treated for onchocerciasis"
"NTD_PINTASTATUS","Status of pinta endemicity"
"NTD_RAB2","Reported number of human rabies deaths"
"NTD_TRA5","Number of people operated for trachomatous trichiasis"
"NTD_TSOL1","Status of endemicity of Taenia solium"
"NTD_TSOL3","Number of pigs in the country"
"NTD_TSOL4","Practice of backyard pig production"
"NTD_YAWSEND","Status of yaws endemicity"
"NTD_YAWSNUM","Number of cases of yaws reported"
"NUTOVERWEIGHTNUM","Overweight numbers among children under 5 years of age (millions), model-based estimates"
"NUTOVERWEIGHTPREV","Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), model-based estimates"
"NUTRITION_2005","Proportion of children aged 6-23 months who receive a minimum acceptable diet"
"NUTRITION_564","Children aged <5 years wasted for age (%)"
"NUTRITION_570","Early initiation of breastfeeding (%)"
"NUTRITION_579","Exclusive breastfeeding under 6 months (%)"
"NUTRITION_ANT_HAZ_NE2","Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates"
"NUTRITION_ANT_WHZ_NE2","Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates"
"NUTRITION_WA_2","Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates"
"NUTRITION_WH_2","Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates"
"NUTRITION_WH_3","Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates"
"NUTSEVWASTINGNUM","Severe wasted numbers among children under 5 years of age (millions), model-based estimates"
"NUTSEVWASTINGPREV","Severe wasted prevalence among children under 5 years of age (%), model-based estimates"
"NUTSTUNTINGNUM","Stunting numbers among children under 5 years of age (millions), model-based estimates"
"NUTSTUNTINGPREV","Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), model-based estimates"
"NUTUNDERWEIGHTNUM","Underweight numbers among children under 5 years of age (millions), model-based estimates"
"NUTUNDERWEIGHTPREV","Underweight prevalence among children under 5 years of age (%), model-based estimates"
"NUTWASTINGNUM","Wasted numbers among children under 5 years of age (millions), model-based estimates"
"NUTWASTINGPREV","Wasted prevalence among children under 5 years of age (%), model-based estimates"
"O_Avail_community","Treatment for tobacco dependence available in the community"
"O_Avail_hlth_clin","Treatment for tobacco dependence available in health clinics or other primary care facilities"
"O_Avail_hosp","Treatment for tobacco dependence available in hospitals"
"O_Avail_off_hlth_prof","Treatment for tobacco dependence available in offices of health professionals"
"O_Avail_other","Treatment for tobacco dependence available in other settings"
"O_Bup_ins","Bupropion - cost covered"
"O_Bup_sold","Bupropion - legally sold"
"O_Bup_where","Bupropion - place available"
"O_Group","Offering help to quit tobacco use"
"O_Ins_community","Treatment for tobacco dependence in the community cost covered"
"O_Ins_hlth_clin","Treatment for tobacco dependence in health clinics or other primary care facilities cost covered"
"O_Ins_hosp","Treatment for tobacco dependence in hospitals cost covered"
"O_Ins_off_hlth_prof","Treatment for tobacco dependence in offices of health professionals cost covered"
"O_Ins_other","Treatment for tobacco dependence in other settings cost covered"
"O_NRT_EML","Nicotine replacement therapy on the Essential Medicines List"
"O_NRT_ins","Nicotine replacement therapy - cost covered"
"O_NRT_sold","Nicotine replacement therapy - legally sold"
"O_NRT_where","Nicotine replacement therapy - place available"
"O_Quitline","Access to a toll-free quit line"
"O_Varen_ins","Varenicline - cost covered"
"O_Varen_sold","Varenicline - legally sold"
"O_Varen_where","Varenicline - place available"
"OCC_1","Occupational risk factors attributable deaths"
"OCC_10","Occupational carcinogens attributable DALYs ('000)"
"OCC_11","Occupational carcinogens attributable deaths per 100'000 capita"
"OCC_12","Occupational carcinogens attributable DALYs per 100'000 capita"
"OCC_13","Occupational noise attributable DALYs ('000)"
"OCC_14","Occupational noise attributable DALYs per 100'000 capita"
"OCC_15","Occupational ergonomic stressors attributable deaths"
"OCC_16","Occupational ergonomic stressors attributable DALYs ('000)"
"OCC_17","Occupational ergonomic stressors attributable deaths per 100'000 capita"
"OCC_18","Occupational ergonomic stressors attributable DALYs per 100'000 capita"
"OCC_19","Occupational injuries attributable deaths"
"OCC_2","Occupational risk factors attributable DALYs ('000)"
"OCC_20","Occupational injuries attributable DALYs ('000)"
"OCC_21","Occupational injuries attributable deaths per 100'000 capita"
"OCC_22","Occupational injuries attributable DALYs per 100'000 capita"
"OCC_3","Occupational risk factors attributable deaths per 100'000 capita"
"OCC_4","Occupational risk factors attributable DALYs per 100'000 capita"
"OCC_5","Occupational airborne particulates attributable deaths"
"OCC_6","Occupational airborne particulates attributable DALYs ('000)"
"OCC_7","Occupational airborne particulates attributable deaths per 100'000 capita"
"OCC_8","Occupational airborne particulates attributable DALYs per 100'000 capita"
"OCC_9","Occupational carcinogens attributable deaths"
"ODA_1","Donor commitments (Million, constant 2009 US$)"
"ODA_2","Commitments to recipient countries (Million, constant 2009 US$)"
"ODA_3","Donor disbursements (Million, constant 2009 US$)"
"ODA_4","Disbursements to recipient countries (Million, constant 2009 US$)"
"ors","Children aged < 5 years with diarrhoea receiving oral rehydration salts (%)"
"ort","Children aged < 5 years with diarrhoea receiving oral rehydration therapy and continued feeding (%)"
"overwgt5","Overweight prevalence in children aged <five years (%)"
"P_count_places_sf","National smoking ban: NUMBER OF PLACES SMOKE-FREE"
"P_Group","Protecting people from tobacco smoke"
"P1_compliance","Compliance of ban on smoking in HEALTH-CARE FACILITIES"
"P1_healthcare","National smoking ban in HEALTH-CARE FACILITIES"
"P10_subnat_auth_exists","Subnational smoking bans - authority exists"
"P11_fines_any","National smoking ban: FINES FOR VIOLATIONS"
"P12_fines_establishment","National smoking ban: FINES ON THE ESTABLISHMENT"
"P13_fines_smoker","National smoking ban: FINES ON THE PATRON"
"P14_funds_for_enforce","National smoking ban: DEDICATED FUNDS FOR ENFORCEMENT"
"P15_complaints","National smoking ban: CITIZEN COMPLAINTS AND INVESTIGATIONS"
"P16_subnat_complete_bans_exist","Comprehensive bans in place subnationally"
"P2_compliance","Compliance of ban on smoking in EDUCATIONAL FACILITIES EXCEPT UNIVERSITIES"
"P2_education","National smoking ban in EDUCATIONAL FACILITIES EXCEPT UNIVERSITIES"
"P3_compliance","Compliance of ban on smoking in UNIVERSITIES"
"P3_universities","National smoking ban in UNIVERSITIES"
"P4_compliance","Compliance of ban on smoking in GOVERNMENT FACILITIES"
"P4_govt","National smoking ban in GOVERNMENT FACILITIES"
"P5_compliance","Compliance of ban on smoking in INDOOR OFFICES"
"P5_indoor_off","National smoking ban in INDOOR OFFICES"
"P6_compliance","Compliance of ban on smoking in RESTAURANTS"
"P6_restaurants","National smoking ban in RESTAURANTS"
"P7_compliance","Compliance of ban on smoking in PUBS AND BARS"
"P7_pubs","National smoking ban in PUBS AND BARS"
"P8_compliance","Compliance of ban on smoking in PUBLIC TRANSPORT"
"P8_pub_transp","National smoking ban in PUBLIC TRANSPORT"
"P9_all_other","National smoking ban in ALL OTHER INDOOR PUBLIC PLACES"
"PC_sfe_compliance","Compliance with regulations on smoke-free environments (national legislation)"
"PCV3","Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)"
"PercposANC","Antenatal care attendees who were positive for syphilis (%)"
"PerctestedANC","Women accessing antenatal care (ANC) services who were tested for syphilis (%)"
"PerctreatedANC","Antenatal care attendees positive for syphilis who received treatment (%)"
"pncall","Postnatal care visit within two days of birth (in the x years preceding the survey) (%)"
"pncall3","Postnatal care visit within two days of birth (in the three years preceding the survey) (%)"
"pncall5","Postnatal care visit within two days of birth (in the five years preceding the survey) (%)"
"pnchome","Postnatal care visit within two days of birth - born outside a health facility (in the x years preceding the survey) (%)"
"pnchome3","Postnatal care visit within two days of birth - born outside a health facility (in the three years preceding the survey) (%)"
"pnchome5","Postnatal care visit within two days of birth - born outside a health facility (in the five years preceding the survey) (%)"
"poliov","Polio immunization coverage among one-year-olds (%)"
"R_Ad_val_average","Average - taxes as a % of cigarette price - ad valorem excise"
"R_Ad_val_estimate","Most sold brand of cigarettes - taxes as a % of price - ad valorem excise"
"R_admin_duty_free_allowance","Tax administration: If duty free imports are limited, duty free allowance (number of cigarette sticks)"
"R_admin_duty_free_limited","Tax administration: Bans or limits on duty free imports by travellers"
"R_admin_tax_stamps","Tax administration: Tax stamps applied on tobacco products"
"R_afford_gdp","Affordability - percentage of GDP per capita required to purchase 2000 cigarettes of the most sold brand"
"R_afford_price_dispersion","Affordability: Price dispersion: share of cheapest brand price in premium brand price (the higher the % the smaller the gap)"
"R_afford_tax_auto_adjust","Affordability: Specific tax component automatically adjusted for inflation (or other)"
"R_Curr_lowest_cost","Cheapest brand of cigarettes - currency reported"
"R_Curr_mp","Most sold brand of cigarettes - currency reported"
"R_Curr_premium_cost","Premium brand of cigarettes - currency reported"
"R_excise_incr","Tobacco excises increased over the survey period"
"R_excise_min_specific","Tax structure: Minimum specific tax applied in ad valorem or mixed excise regime"
"R_excise_proportion","Tax structure: Excise tax proportion of price"
"R_excise_retail_price_base","Tax structure: Retail price used as base of ad valorem component in ad valorem or mixed excise regime (or retail price exclusive of VAT)"
"R_excise_specific_reliance","Tax structure: Greater reliance on specific tax in mixed excise regime"
"R_excise_type","Tax structure: Type of excise tax applied"
"R_excise_uniform_varied","Tax structure: Uniform excise tax"
"R_Group","Raising taxes on tobacco"
"R_imp_duty_average","Average - taxes as a % of cigarette price - import duties"
"R_imp_duty_estimate","Most sold brand of cigarettes - taxes as a % of price - import duties"
"R_Other_average","Average - taxes as a % of cigarette price - other taxes"
"R_Other_estimate","Most sold brand of cigarettes - taxes as a % of price - other taxes"
"R_Price_mp_estimate","Most sold brand of cigarettes - price in currency reported"
"R_Price_premium_estimate","Premium brand of cigarettes - price in currency reported"
"R_Price_premium_ppp","Premium brand of cigarettes - price in international dollars"
"R_Price_premium_usd","Premium brand of cigarettes - price in US$ at official exchange rates"
"R_Sp_excise_average","Average - taxes as a % of cigarette price - specific excise"
"R_Sp_excise_estimate","Most sold brand of cigarettes - taxes as a % of price - specific excise"
"R_total_tax_average","Average - taxes as a % of cigarette price - total tax"
"R_total_tax_estimate","Most sold brand of cigarettes - taxes as a % of price - total tax"
"R_VAT_average","Average - taxes as a % of cigarette price - value added tax"
"R_VAT_estimate","Most sold brand of cigarettes - taxes as a % of price - value added tax"
"RADON_Q201","Existence of any national radon activity"
"RADON_Q301","Existence of national radon survey(s)"
"RADON_Q302","National radon concentration levels"
"RADON_Q303","Existence of national radon database"
"RADON_Q304","Data in national radon database"
"RADON_Q401","Existence of national radon action plan"
"RADON_Q402","Existence of national radon regulations"
"RADON_Q403","Radon in building regulations for new buildings"
"RADON_Q404","Radon in building regulations for existing buildings i.e. renovation/remodeling/major alteration"
"RADON_Q405","Radon in national drinking-water regulations"
"RADON_Q501","Existence of national reference level for dwellings and buildings with high public occupancy"
"RADON_Q502","Existence of national reference level for buildings with high public occupancy"
"RADON_Q601","Existence of official protocols for radon measurements"
"RADON_Q602","Radon concentration measurements for new buildings"
"RADON_Q603","Radon concentration measurements for existing buildings"
"RADON_Q604","Authorization/accreditation required for official radon measurement providers"
"RADON_Q701","Mandatory preventive measures (new buildings)"
"RADON_Q702","Mandatory mitigation measures if legal value is exceeded (existing buildings)"
